"Test","Batch","Maquina","Usuario","Descripcion","Accion","Elemento","Valor","Tiempo (ms)","Tiempo (s)","Tiempo (min)","Estado","Error Type","Error Message","Origen Error","Archivo Origen"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Given el actor tiene un navegador disponible","Ejecuta","Given el actor tiene un navegador disponible","N/A","1","0,00","0","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","When abre la pagina de casos","Ejecuta","When abre la pagina de casos","N/A","2301","2,30","0,038","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Abre la pagina de casos","Otra","N/A","N/A","2294","2,29","0,038","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","2286","2,29","0,038","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","And realiza login con credenciales","Ejecuta","And realiza login con credenciales","N/A","6000","6,00","0,1","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Login con Cognito usando credenciales","Ejecuta","Login con Cognito usando credenciales","N/A","5994","5,99","0,1","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","286","0,29","0,005","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'pruebas22' into Campo de usuario de Cognito","Escribe","Campo de usuario de Cognito","pruebas22","245","0,24","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara clicks on BotÃ³n siguiente de Cognito","Click/Selecciona","BotÃ³n siguiente de Cognito","N/A","254","0,25","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara enters 'Vh0#R8jS2$' into Campo de contraseÃ±a de Cognito","Escribe","Campo de contraseÃ±a de Cognito","Vh0#R8jS2$","189","0,19","0,003","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Sara clicks on BotÃ³n continuar de Cognito","Click/Selecciona","BotÃ³n continuar de Cognito","N/A","234","0,23","0,004","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","And navega a agent","Ejecuta","And navega a agent","N/A","5761","5,76","0,096","SUCCESS","","","","step_details_20260619_133939.xlsx"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","MAURICIO","mauro","Navega a la pagina de agent","Otra","N/A","N/A","5752","5,75","0,096","SUCCESS","","","","step_details_20260619_133939.xlsx"
